sponsor_zip,total,lat,lng,major_city,state
53711,79,43.02,-89.41,Madison,WI
53713,72,43.03,-89.39,Madison,WI
53714,17,43.1,-89.31,Madison,WI
53715,1,43.06,-89.4,Madison,WI
53716,11,43.07,-89.31,Madison,WI
53718,2,43.1,-89.3,Madison,WI
53719,23,43.03,-89.5,Madison,WI
53805,8,43.2,-90.7,Boscobel,WI
53807,2,42.6,-90.5,Cuba City,WI
53810,2,42.82,-90.98,Glen Haven,WI
53811,1,42.5,-90.5,Hazel Green,WI
53813,6,42.8,-90.7,Lancaster,WI
53818,9,42.8,-90.5,Platteville,WI
53901,4,43.5,-89.5,Portage,WI
53913,6,43.5,-89.7,Baraboo,WI
53916,16,43.5,-88.9,Beaver Dam,WI
53919,7,43.7,-88.8,Brandon,WI
53924,3,43.5,-90.3,Cazenovia,WI
53925,4,43.3,-89.1,Columbus,WI
53926,2,43.67,-89.22,Dalton,WI
53929,1,43.8,-90.3,Elroy,WI
53931,4,43.74,-88.87,Fairwater,WI
53933,4,43.56,-88.88,Fox Lake,WI
53936,2,43.9,-89.7,Grand Marsh,WI
53943,1,43.4,-90,Loganville,WI
53946,7,43.7,-89.1,Markesan,WI
53948,2,43.8,-90,Mauston,WI
53951,1,43.4,-89.9,North Freedom,WI
53954,1,43.6,-89.3,Pardeeville,WI
53956,1,43.5,-89,Randolph,WI
53959,18,43.5,-90,Reedsburg,WI
53963,5,43.7,-88.7,Waupun,WI
53964,3,43.9,-89.5,Westfield,WI
53965,6,43.7,-89.8,Wisconsin Dells,WI
53968,1,43.6,-90.2,Wonewoc,WI
54002,7,45,-92.4,Baldwin,WI
54005,2,45.2,-92.2,Clear Lake,WI
54009,1,45.4,-92.6,Dresser,WI
54013,2,45.1,-92.2,Glenwood City,WI
54015,1,45,-92.5,Hammond,WI
54016,11,45,-92.7,Hudson,WI
54017,5,45.1,-92.5,New Richmond,WI
54020,1,45.3,-92.6,Osceola,WI
54022,9,44.8,-92.6,River Falls,WI
54023,3,44.98,-92.55,Roberts,WI
54106,1,44.5,-88.5,Black Creek,WI
54107,2,44.7,-88.4,Bonduel,WI
54110,4,44.2,-88.1,Brillion,WI
54112,1,45,-88,Coleman,WI
54114,1,45.2,-88,Crivitz,WI
54115,4,44.4,-88.1,De Pere,WI
54124,6,44.9,-88.4,Gillett,WI
54126,8,44.3,-88,Greenleaf,WI
54129,8,44.1,-88.2,Hilbert,WI
54130,7,44.3,-88.2,Kaukauna,WI
54136,1,44.27,-88.34,Kimberly,WI
54139,2,44.9,-88.1,Lena,WI
54143,1,45.1,-87.7,Marinette,WI
54153,1,44.9,-87.9,Oconto,WI
54154,4,44.9,-88.2,Oconto Falls,WI
54159,1,45.2,-87.8,Porterfield,WI
54162,17,44.7,-88.3,Pulaski,WI
54165,1,44.5,-88.3,Seymour,WI
54166,4,44.8,-88.7,Shawano,WI
54170,15,44.5,-88.6,Shiocton,WI
54180,4,44.33,-88.19,Wrightstown,WI
54201,6,44.6,-87.5,Algoma,WI
54205,17,44.6,-87.6,Casco,WI
54208,3,44.4,-87.8,Denmark,WI
54209,1,45.01,-87.27,Egg Harbor,WI
54213,6,44.7,-87.5,Forestville,WI
54216,6,44.4,-87.6,Kewaunee,WI
54217,11,44.6,-87.7,Luxemburg,WI
54220,53,44.1,-87.7,Manitowoc,WI
54228,3,44.27,-87.65,Mishicot,WI
54230,6,44.2,-87.9,Reedsville,WI
54232,3,44.007,-87.924,Saint Nazianz,WI
54235,6,44.8,-87.4,Sturgeon Bay,WI
54241,5,44.2,-87.6,Two Rivers,WI
54245,4,44.02,-87.91,Valders,WI
54247,3,44.2,-87.79,Whitelaw,WI
54301,15,44.48,-88.02,Green Bay,WI
54302,94,44.52,-87.97,Green Bay,WI
54303,23,44.54,-88.06,Green Bay,WI
54304,11,44.49,-88.07,Green Bay,WI
54311,17,44.5,-87.9,Green Bay,WI
54313,2,44.6,-88.1,Green Bay,WI
54401,2,45,-89.7,Wausau,WI
54403,1,45,-89.5,Wausau,WI
54405,16,45,-90.3,Abbotsford,WI
54407,1,44.5,-89.3,Amherst Junction,WI
54409,3,45.1,-89.2,Antigo,WI
