month,country_group,gender,n
2022-03-01,Honduras,M,1886
2022-03-01,Mexico,F,106
2022-03-01,Mexico,M,139
2022-03-01,Other,F,250
2022-03-01,Other,M,460
2022-04-01,El Salvador,F,583
2022-04-01,El Salvador,M,957
2022-04-01,Guatemala,F,1686
2022-04-01,Guatemala,M,3801
2022-04-01,Honduras,F,1162
2022-04-01,Honduras,M,2111
2022-04-01,Mexico,F,126
2022-04-01,Mexico,M,162
2022-04-01,Other,F,326
2022-04-01,Other,M,501
2022-05-01,El Salvador,F,511
2022-05-01,El Salvador,M,806
2022-05-01,Guatemala,F,1597
2022-05-01,Guatemala,M,3351
2022-05-01,Honduras,F,1089
2022-05-01,Honduras,M,1810
2022-05-01,Mexico,F,109
2022-05-01,Mexico,M,143
2022-05-01,Other,F,354
2022-05-01,Other,M,505
2022-06-01,El Salvador,F,567
2022-06-01,El Salvador,M,917
2022-06-01,Guatemala,F,1799
2022-06-01,Guatemala,M,3576
2022-06-01,Honduras,F,1417
2022-06-01,Honduras,M,2167
2022-06-01,Mexico,F,160
2022-06-01,Mexico,M,167
2022-06-01,Other,F,364
2022-06-01,Other,M,495
2022-07-01,El Salvador,F,576
2022-07-01,El Salvador,M,980
2022-07-01,Guatemala,F,1988
2022-07-01,Guatemala,M,4195
2022-07-01,Honduras,F,1590
2022-07-01,Honduras,M,2724
2022-07-01,Mexico,F,128
2022-07-01,Mexico,M,188
2022-07-01,Other,F,325
2022-07-01,Other,M,527
2022-08-01,El Salvador,F,531
2022-08-01,El Salvador,M,777
2022-08-01,Guatemala,F,1636
2022-08-01,Guatemala,M,3252
2022-08-01,Honduras,F,1221
2022-08-01,Honduras,M,2137
2022-08-01,Mexico,F,160
2022-08-01,Mexico,M,178
2022-08-01,Other,F,356
2022-08-01,Other,M,528
2022-09-01,El Salvador,F,426
2022-09-01,El Salvador,M,610
2022-09-01,Guatemala,F,1362
2022-09-01,Guatemala,M,2634
2022-09-01,Honduras,F,1024
2022-09-01,Honduras,M,1612
2022-09-01,Mexico,F,166
2022-09-01,Mexico,M,198
2022-09-01,Other,F,392
2022-09-01,Other,M,580
2022-10-01,El Salvador,F,484
2022-10-01,El Salvador,M,675
2022-10-01,Guatemala,F,1501
2022-10-01,Guatemala,M,2823
2022-10-01,Honduras,F,1004
2022-10-01,Honduras,M,1702
2022-10-01,Mexico,F,171
2022-10-01,Mexico,M,248
2022-10-01,Other,F,502
2022-10-01,Other,M,711
2022-11-01,El Salvador,F,432
2022-11-01,El Salvador,M,625
2022-11-01,Guatemala,F,1466
2022-11-01,Guatemala,M,2881
2022-11-01,Honduras,F,1033
2022-11-01,Honduras,M,1636
2022-11-01,Mexico,F,200
2022-11-01,Mexico,M,250
2022-11-01,Other,F,601
2022-11-01,Other,M,797
2022-12-01,El Salvador,F,559
2022-12-01,El Salvador,M,625
2022-12-01,Guatemala,F,1976
2022-12-01,Guatemala,M,3477
2022-12-01,Honduras,F,1188
2022-12-01,Honduras,M,1872
2022-12-01,Mexico,F,239
2022-12-01,Mexico,M,262
2022-12-01,Other,F,811
2022-12-01,Other,M,1054
2023-01-01,El Salvador,F,285
2023-01-01,El Salvador,M,404
2023-01-01,Guatemala,F,1328
2023-01-01,Guatemala,M,2556
2023-01-01,Honduras,F,929
2023-01-01,Honduras,M,1360
2023-01-01,Mexico,F,184
2023-01-01,Mexico,M,227
2023-01-01,Other,F,721
2023-01-01,Other,M,908
2023-02-01,El Salvador,F,312
2023-02-01,El Salvador,M,500
2023-02-01,Guatemala,F,1358
2023-02-01,Guatemala,M,2597
2023-02-01,Honduras,F,933
2023-02-01,Honduras,M,1424
2023-02-01,Mexico,F,234
2023-02-01,Mexico,M,312
2023-02-01,Other,F,357
2023-02-01,Other,M,457
2023-03-01,El Salvador,F,394
2023-03-01,El Salvador,M,507
2023-03-01,Guatemala,F,1438
2023-03-01,Guatemala,M,2813
2023-03-01,Honduras,F,1094
2023-03-01,Honduras,M,1730
2023-03-01,Mexico,F,277
2023-03-01,Mexico,M,379
2023-03-01,Other,F,372
2023-03-01,Other,M,535
2023-04-01,El Salvador,F,358
2023-04-01,El Salvador,M,531
2023-04-01,Guatemala,F,1271
2023-04-01,Guatemala,M,2549
2023-04-01,Honduras,F,1078
2023-04-01,Honduras,M,1621
2023-04-01,Mexico,F,266
2023-04-01,Mexico,M,374
2023-04-01,Other,F,323
2023-04-01,Other,M,600
2023-05-01,El Salvador,F,343
2023-05-01,El Salvador,M,499
2023-05-01,Guatemala,F,1172
2023-05-01,Guatemala,M,2129
2023-05-01,Honduras,F,961
2023-05-01,Honduras,M,1548
2023-05-01,Mexico,F,266
2023-05-01,Mexico,M,383
2023-05-01,Other,F,463
2023-05-01,Other,M,694
