gender,sponsor_cat,n,pct
F,1,94134,0.4984749316896486
F,2,76861,0.4070079007011078
F,3,17706,0.09375992883014551
F,NA,143,7.572387790980915e-4
M,1,136683,0.37501028868683434
M,2,181304,0.49743468741597574
M,3,45978,0.1261475315382547
M,NA,513,0.0014074923589352444
